continent;location;date;new_tests;total_tests;total_tests_per_thousand;new_tests_per_thousand;new_tests_smoothed;new_tests_smoothed_per_thousand;positive_rate;tests_per_case;tests_units;total_vaccinations;people_vaccinated;people_fully_vaccinated;new_vaccinations;new_vaccinations_smoothed;total_vaccinations_per_hundred;people_vaccinated_per_hundred;people_fully_vaccinated_per_hundred;new_vaccinations_smoothed_per_million;stringency_index;population_density;median_age;aged_65_older;aged_70_older;gdp_per_capita;extreme_poverty;cardiovasc_death_rate;diabetes_prevalence;female_smokers;male_smokers;handwashing_facilities;hospital_beds_per_thousand;life_expectancy;human_development_index
Africa;Algeria;2020/02/25;;;;;;;;;;;;;;;;;;;0;17,348;29,1;6,211;3,857;13913,839;0,5;278,364;6,73;0,7;30,4;83,741;1,9;76,88;0,748
Africa;Algeria;2020/02/26;;;;;;;;;;;;;;;;;;;0;17,348;29,1;6,211;3,857;13913,839;0,5;278,364;6,73;0,7;30,4;83,741;1,9;76,88;0,748
Africa;Algeria;2020/02/27;;;;;;;;;;;;;;;;;;;0;17,348;29,1;6,211;3,857;13913,839;0,5;278,364;6,73;0,7;30,4;83,741;1,9;76,88;0,748
Africa;Algeria;2020/02/28;;;;;;;;;;;;;;;;;;;0;17,348;29,1;6,211;3,857;13913,839;0,5;278,364;6,73;0,7;30,4;83,741;1,9;76,88;0,748
Africa;Algeria;2020/02/29;;;;;;;;;;;;;;;;;;;0;17,348;29,1;6,211;3,857;13913,839;0,5;278,364;6,73;0,7;30,4;83,741;1,9;76,88;0,748
Africa;Algeria;2020/03/01;;;;;;;;;;;;;;;;;;;0;17,348;29,1;6,211;3,857;13913,839;0,5;278,364;6,73;0,7;30,4;83,741;1,9;76,88;0,748
Africa;Algeria;2020/03/02;;;;;;;;;;;;;;;;;;;0;17,348;29,1;6,211;3,857;13913,839;0,5;278,364;6,73;0,7;30,4;83,741;1,9;76,88;0,748
Africa;Algeria;2020/03/03;;;;;;;;;;;;;;;;;;;0;17,348;29,1;6,211;3,857;13913,839;0,5;278,364;6,73;0,7;30,4;83,741;1,9;76,88;0,748
Africa;Algeria;2020/03/04;;;;;;;;;;;;;;;;;;;0;17,348;29,1;6,211;3,857;13913,839;0,5;278,364;6,73;0,7;30,4;83,741;1,9;76,88;0,748
Africa;Algeria;2020/03/05;;;;;;;;;;;;;;;;;;;5,56;17,348;29,1;6,211;3,857;13913,839;0,5;278,364;6,73;0,7;30,4;83,741;1,9;76,88;0,748
Africa;Algeria;2020/03/06;;;;;;;;;;;;;;;;;;;5,56;17,348;29,1;6,211;3,857;13913,839;0,5;278,364;6,73;0,7;30,4;83,741;1,9;76,88;0,748
Africa;Algeria;2020/03/07;;;;;;;;;;;;;;;;;;;5,56;17,348;29,1;6,211;3,857;13913,839;0,5;278,364;6,73;0,7;30,4;83,741;1,9;76,88;0,748
Africa;Algeria;2020/03/08;;;;;;;;;;;;;;;;;;;5,56;17,348;29,1;6,211;3,857;13913,839;0,5;278,364;6,73;0,7;30,4;83,741;1,9;76,88;0,748
Africa;Algeria;2020/03/09;;;;;;;;;;;;;;;;;;;5,56;17,348;29,1;6,211;3,857;13913,839;0,5;278,364;6,73;0,7;30,4;83,741;1,9;76,88;0,748
Africa;Algeria;2020/03/10;;;;;;;;;;;;;;;;;;;16,67;17,348;29,1;6,211;3,857;13913,839;0,5;278,364;6,73;0,7;30,4;83,741;1,9;76,88;0,748
Africa;Algeria;2020/03/11;;;;;;;;;;;;;;;;;;;16,67;17,348;29,1;6,211;3,857;13913,839;0,5;278,364;6,73;0,7;30,4;83,741;1,9;76,88;0,748
Africa;Algeria;2020/03/12;;;;;;;;;;;;;;;;;;;30,56;17,348;29,1;6,211;3,857;13913,839;0,5;278,364;6,73;0,7;30,4;83,741;1,9;76,88;0,748
Africa;Algeria;2020/03/13;;;;;;;;;;;;;;;;;;;30,56;17,348;29,1;6,211;3,857;13913,839;0,5;278,364;6,73;0,7;30,4;83,741;1,9;76,88;0,748
Africa;Algeria;2020/03/14;;;;;;;;;;;;;;;;;;;36,11;17,348;29,1;6,211;3,857;13913,839;0,5;278,364;6,73;0,7;30,4;83,741;1,9;76,88;0,748
Africa;Algeria;2020/03/15;;;;;;;;;;;;;;;;;;;36,11;17,348;29,1;6,211;3,857;13913,839;0,5;278,364;6,73;0,7;30,4;83,741;1,9;76,88;0,748
